```csv
sku,product_type,unit_price,supplier_name,location,stock,lead_time,units_per_order,shipping_company,average_shipping_cost,manufacturing_days,manufacturing_cost,last_quality_inspection,defective_percentage,main_transport_mode,main_route,total_cost,unit_id,date_manufactured,date_received,storage_temperature,humidity,batch_number,supplier_rating,shipping_distance,shipping_weight,packaging_cost,insurance_cost,customs_duty,warehouse_location,demand_forecast,reorder_point,safety_stock,expiration_date,production_line,worker_id,material_cost,labor_cost,energy_cost,machine_id,machine_maintenance_cost,inspection_date,inspection_result,inspector_id,order_quantity,discount_applied,customer_segment,payment_method
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,11,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,12,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,13,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,14,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,15,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Delhivery,550,3,14500,Pass,2.0,Road,RouteA,31500,16,2024-01-21,2024-01-24,23,62,BH102,4.2,1100,0.4,45,18,95,A2,48,14,4,2024-07-21,Line2,W102,48,28,18,M102,8,2024-01-23,Pass,I102,30,5,Women,UPI
DISH101,Main course,350,Delhi Spice,Mumbai,42,4,35,Ekart Logistics,700,4,16000,Pass,3.0,Sea,RouteC,33000,17,2024-01-22,2024-01-26,24,64,BH103,4.0,1300,0.6,55,22,110,A3,52,16,6,2024-07-22,Line3,W103,52,32,22,M103,12,2024-01-24,Pass,I103,35,10,Women,Net Banking
DISH101,Main course,350,Spice Route,Chennai,42,5,40,Xpressbees,750,5,16500,Pass,3.5,Road,RouteD,33500,18,2024-01-23,2024-01-28,25,66,BH104,3.8,1400,0.7,60,24,120,A4,55,17,7,2024-07-23,Line4,W104,55,35,25,M104,14,2024-01-25,Pass,I104,40,15,Women,Cash
DISH101,Main course,350,Masala King,Kolkata,42,6,45,Shadowfax,800,6,17000,Pass,4.0,Air,RouteE,34000,19,2024-01-24,2024-01-30,26,68,BH105,3.5,1500,0.8,65,26,130,A5,58,18,8,2024-07-24,Line5,W105,58,38,28,M105,16,2024-01-26,Pass,I105,45,20,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,20,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,21,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,22,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,23,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,24,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,25,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,Delhi Spice,Mumbai,42,4,35,Ekart Logistics,700,4,16000,Pass,3.0,Sea,RouteC,33000,26,2024-01-21,2024-01-24,23,62,BH102,4.2,1100,0.4,45,18,95,A2,48,14,4,2024-07-21,Line2,W102,48,28,18,M102,8,2024-01-23,Pass,I102,30,5,Women,UPI
DISH101,Main course,350,Spice Route,Chennai,42,5,40,Xpressbees,750,5,16500,Pass,3.5,Road,RouteD,33500,27,2024-01-22,2024-01-26,24,64,BH103,4.0,1300,0.6,55,22,110,A3,52,16,6,2024-07-22,Line3,W103,52,32,22,M103,12,2024-01-24,Pass,I103,35,10,Women,Net Banking
DISH101,Main course,350,Masala King,Kolkata,42,6,45,Shadowfax,800,6,17000,Pass,4.0,Air,RouteE,34000,28,2024-01-23,2024-01-28,25,66,BH104,3.8,1400,0.7,60,24,120,A4,55,17,7,2024-07-23,Line4,W104,55,35,25,M104,14,2024-01-25,Pass,I104,40,15,Women,Cash
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,29,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,30,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,31,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,32,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,33,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,Delhi Spice,Mumbai,42,4,35,Ekart Logistics,700,4,16000,Pass,3.0,Sea,RouteC,33000,34,2024-01-21,2024-01-24,23,62,BH102,4.2,1100,0.4,45,18,95,A2,48,14,4,2024-07-21,Line2,W102,48,28,18,M102,8,2024-01-23,Pass,I102,30,5,Women,UPI
DISH101,Main course,350,Spice Route,Chennai,42,5,40,Xpressbees,750,5,16500,Pass,3.5,Road,RouteD,33500,35,2024-01-22,2024-01-26,24,64,BH103,4.0,1300,0.6,55,22,110,A3,52,16,6,2024-07-22,Line3,W103,52,32,22,M103,12,2024-01-24,Pass,I103,35,10,Women,Net Banking
DISH101,Main course,350,Masala King,Kolkata,42,6,45,Shadowfax,800,6,17000,Pass,4.0,Air,RouteE,34000,36,2024-01-23,2024-01-28,25,66,BH104,3.8,1400,0.7,60,24,120,A4,55,17,7,2024-07-23,Line4,W104,55,35,25,M104,14,2024-01-25,Pass,I104,40,15,Women,Cash
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,37,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,38,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,SpiceHub,Hyderabad,42,3,30,Blue dart,600,3,15000,Pass,2.5,Air,RouteB,32000,39,2024-01-20,2024-01-23,22,60,BH101,4.5,1200,0.5,50,20,100,A1,50,15,5,2024-07-20,Line1,W101,50,30,20,M101,10,2024-01-22,Pass,I101,30,0,Women,Credit Card
DISH101,Main course,350,Delhi Spice,Mumbai,42,4,35,Ekart Logistics,700,4,16000,Pass,3.0,Sea,RouteC,33000,40,2024-01-21,2024-01-24,23,62,BH102,4.2,1100,0.4,45,18,95,A2,48,14,4,2024-07-21,Line2,W102,48,28,18,M102,8,2024-01-23,Pass,I102,30,5,Women,UPI
DISH101,Main course,350,Spice Route,Chennai,42,5,40,Xpressbees,750,5,16500,Pass,3.5,Road,RouteD,33500,41,2024-01-22,2024-01-26,24,64,BH103,4.0,1300,0.6,55,22,110,A3,52,16,6,2024-07-22,Line3,W103,52,32,22,M103,12,2024-01-24,Pass,I103,35,10,Women,Net Banking
DISH101,Main course,350,Masala King,Kolkata,42,6,45,Shadowfax,800,6,17000,Pass,4.0,Air,RouteE,34000,42,2024-01-23,2024-01-28,25,66,BH104,3.8,1400,0.7,60,24,12
