Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
Main Course,DISH43,502.11,76,1316,473249.74,Male,18,2,34,9,Blue Dart,861.31,SpiceHub,Chennai,8,279,12,6435.54,Pass,9.033302,Road,Route B,8622.15
Beverage,DISH44,317.67,13,1272,353686.96,Unknown,68,8,53,4,Blue Dart,346.62,SpiceHub,Kolkata,1,153,14,2364.71,Pending,1.025277,Rail,Route B,6511.24
Appetizer,DISH45,215.51,17,1533,376421.31,Unknown,47,13,74,1,Ecom Express,595.65,Tandoori Supplies,Chennai,5,474,13,1510.58,Pending,4.493829,Air,Route B,7237.85
Beverage,DISH46,799.12,59,839,974325.98,Non-binary,83,11,39,8,Ecom Express,468.66,FreshFoods India,Mumbai,14,239,12,4884.15,Pending,5.043193,Air,Route B,3038.67
Dessert,DISH47,482.75,7,1491,553962.14,Non-binary,2,14,32,5,Ecom Express,315.2,Tandoori Supplies,Kolkata,9,293,11,3784.31,Pending,0.684062,Road,Route B,1181.36
Appetizer,DISH48,730.02,65,410,138869.38,Female,61,13,20,9,India Post,325.89,SpiceHub,Bangalore,13,113,9,3091.41,Fail,5.095394,Rail,Route B,2314.59
Appetizer,DISH49,246.34,36,858,143177.4,Non-binary,8,5,23,7,Blue Dart,748.94,SpiceHub,Kolkata,3,353,7,5780.45,Fail,4.698167,Road,Route A,1896.32
Beverage,DISH50,359.95,6,1577,151376.58,Female,22,12,51,6,Ecom Express,740.15,Local Farmers,Mumbai,13,262,1,9997.08,Fail,7.907395,Rail,Route B,9905.2
Appetizer,DISH51,492.22,8,1118,889888.67,Female,92,10,49,2,Blue Dart,668.47,Local Farmers,Delhi,13,313,6,6879.26,Fail,3.472843,Rail,Route B,7999.38
Dessert,DISH52,276.17,17,492,121034.86,Unknown,81,6,74,6,Ecom Express,456.31,Tandoori Supplies,Hyderabad,6,90,7,1418.56,Pass,3.464794,Air,Route C,1948.12
Beverage,DISH53,154.34,5,1856,888357.1,Female,5,3,41,7,Ecom Express,561.06,SpiceHub,Bangalore,5,407,2,8983.78,Fail,7.477713,Road,Route C,3723.51
Beverage,DISH54,669.42,70,1714,840030.08,Female,21,4,26,1,Ecom Express,934.97,FreshFoods India,Hyderabad,9,482,1,6453.76,Pending,7.8384,Rail,Route C,9315.23
Main Course,DISH55,568.76,45,466,556192.05,Male,59,6,45,8,Blue Dart,477.04,FreshFoods India,Delhi,7,143,5,1331.8,Pending,5.338477,Rail,Route B,7257.17
Appetizer,DISH56,747.18,28,359,644192.05,Male,31,4,67,4,India Post,445.11,Local Farmers,Delhi,6,43,1,9153.35,Pending,5.974122,Rail,Route C,5634.52
Appetizer,DISH57,353.01,12,1918,208771.27,Male,3,9,36,3,Blue Dart,196.22,Tandoori Supplies,Hyderabad,13,323,2,7559.84,Fail,3.854266,Rail,Route A,1873.67
Main Course,DISH58,404.3,99,1789,868322.11,Unknown,13,10,81,4,Blue Dart,296.17,Tandoori Supplies,Delhi,4,388,8,1391.49,Fail,6.586057,Road,Route A,3832.37
Dessert,DISH59,790.76,14,489,129011.78,Female,4,8,35,6,Blue Dart,861.66,Tandoori Supplies,Hyderabad,12,444,4,4172.86,Pending,3.499273,Air,Route C,5869.35
Dessert,DISH60,145.92,12,162,937973.87,Female,11,2,35,1,Delhivery,874.54,FreshFoods India,Delhi,14,226,10,9901.53,Pending,3.916299,Air,Route A,2667.24
Appetizer,DISH61,656.68,55,991,569043.77,Female,16,12,79,6,India Post,745.73,SpiceHub,Kolkata,7,271,7,8437.96,Fail,7.347933,Rail,Route C,4287.29
Beverage,DISH62,289.66,73,642,949326.47,Female,52,2,27,1,India Post,883.81,FreshFoods India,Hyderabad,11,74,11,2240.44,Fail,1.941217,Road,Route B,7972.21
Main Course,DISH63,203.11,96,1733,235621.09,Female,38,3,25,8,Delhivery,702.23,FreshFoods India,Chennai,1,377,6,1893.34,Pending,2.951804,Road,Route B,2721.03
Beverage,DISH64,625.01,57,1035,846784.99,Unknown,48,8,25,1,Delhivery,184.05,SpiceHub,Delhi,8,243,1,5603.64,Pending,3.362877,Road,Route C,6199.25
Beverage,DISH65,606.41,56,1515,654839.78,Female,90,9,34,2,India Post,677.44,Tandoori Supplies,Bangalore,5,18,14,2876.38,Pending,3.60973,Air,Route C,5535.03
Dessert,DISH66,475.24,39,367,575232.05,Female,62,8,71,2,India Post,763.29,Tandoori Supplies,Hyderabad,5,459,4,8940.08,Pending,9.442848,Air,Route A,8725.28
Beverage,DISH67,793.09,92,1790,169008.03,Unknown,77,5,27,8,Ecom Express,324.18,Local Farmers,Kolkata,9,203,9,4868.07,Fail,1.874543,Rail,Route B,7709.97
Main Course,DISH68,671.28,32,294,727371.37,Female,52,13,40,1,Ecom Express,737.1,FreshFoods India,Hyderabad,7,371,10,5538.53,Fail,9.40998,Road,Route A,7501.55
Beverage,DISH69,483.61,87,335,188296.4,Non-binary,42,14,89,6,Ecom Express,977.02,Tandoori Supplies,Hyderabad,14,466,3,2617.05,Pass,1.151043,Road,Route B,2712.28
Appetizer,DISH70,788.62,61,1970,269691.16,Male,31,7,54,9,Ecom Express,156.4,Local Farmers,Hyderabad,5,162,4,6066.51,Pass,3.468295,Rail,Route C,8659.6
Beverage,DISH71,154.81,5,1258,73496.74,Female,35,10,42,1,Delhivery,479.1,Tandoori Supplies,Bangalore,7,174,12,6176.17,Pending,6.897024,Road,Route A,5539.07
Appetizer,DISH72,300.52,2,626,403862.81,Male,78,10,40,6,Blue Dart,224.74,Tandoori Supplies,Bangalore,12,69,7,8535.4,Fail,3.221081,Air,Route B,4017.7
Appetizer,DISH73,318.41,11,71,968640.86,Unknown,67,4,71,2,Ecom Express,534.77,FreshFoods India,Bangalore,6,248,13,1427.91,Pass,8.809638,Road,Route A,3243.44
Dessert,DISH74,622.91,45,1282,627931.07,Non-binary,26,14,79,7,Ecom Express,616.76,Local Farmers,Chennai,11,217,2,1379.91,Fail,0.527696,Rail,Route B,2599.01
Beverage,DISH75,126.48,84,364,161237.38,Unknown,45,10,63,1,Blue Dart,349.2,FreshFoods India,Bangalore,11,200,10,5602.09,Pending,6.848635,Air,Route C,6491.07
Appetizer,DISH76,219.88,16,1085,380259.48,Non-binary,17,5,54,6,Delhivery,281.84,SpiceHub,Mumbai,14,231,9,5632.82,Pass,9.311208,Road,Route B,6006.86
Main Course,DISH77,198.65,74,556,943436.37,Unknown,6,1,42,9,Delhivery,234.63,FreshFoods India,Chennai,8,198,12,4673.57,Pass,2.675965,Rail,Route A,1561.15
Dessert,DISH78,300.5,19,20,760975.93,Male,83,6,4,9,India Post,552.31,Tandoori Supplies,Mumbai,2,60,6,2771.56,Pending,4.053212,Road,Route A,9865.34
Main Course,DISH79,789.53,35,311,850933.3,Female,87,11,27,3,Blue Dart,922.14,FreshFoods India,Kolkata,6,16,8,5679.95,Fail,4.464403,Air,Route B,9673.32
Appetizer,DISH80,775.09,81,1416,163391.04,Non-binary,54,3,29,5,Delhivery,288.69,SpiceHub,Kolkata,13,206,12,2215.06,Fail,5.451009,Road,Route A,4219.34
Appetizer,DISH81,116.59,64,1886,368538.04,Female,92,6,7,6,Blue Dart,259.45,Tandoori Supplies,Hyderabad,5,397,2,9517.68,Pass,0.974332,Road,Route A,8435.28
Dessert,DISH82,591.48,25,284,885501.35,Non-binary,81,10,90,2,Delhivery,367.67,Local Farmers,Bangalore,10,106,13,1228.48,Fail,7.734573,Air,Route A,8695.52
Dessert,DISH83,74.94,35,464,474091.04,Non-binary,20,1,35,1,Delhivery,980.34,Local Farmers,Mumbai,3,157,2,6078.24,Fail,0.742439,Rail,Route C,3304.34
Appetizer,DISH84,85.21,63,1215,693278.81,Female,56,2,76,3,Delhivery,601.18,SpiceHub,Chennai,2,273,1,7775.7,Pending,1.346127,Air,Route B,2086.86
Beverage,DISH85,379.04,92,734,907454.11,Male,44,7,21,8,Ecom Express,504.12,SpiceHub,Bangalore,5,340,6,8256.49,Fail,7.121766,Road,Route B,5949.98
Beverage,DISH86,785.22,68,643,207454.23,Unknown,75,11,11,5,Blue Dart,361.12,SpiceHub,Bangalore,6,206,5,9046.71,Fail,1.464529,Road,Route A,1872.36
Appetizer,DISH87,746.81,41,734,383938.44,Non-binary,0,2,36,7,India Post,111.66,Tandoori Supplies,Bangalore,9,460,7,6271.12,Pass,2.031238,Rail,Route B,8138.19
Appetizer,DISH88,263.29,65,934,354413.11,Unknown,91,4,13,3,Blue Dart,956.98,FreshFoods India,Bangalore,4,238,7,9885.05,Pass,1.866676,Air,Route C,5559.88
Dessert,DISH89,774.22,42,627,543404.71,Non-binary,74,10,4,4,Delhivery,936.78,Local Farmers,Kolkata,7,144,14,4630.63,Fail,3.044272,Air,Route B,2849.75
Dessert,DISH90,384.77,88,733,747213.79,Male,30,8,42,8,Ecom Express,991.59,Local Farmers,Hyderabad,1,285,5,8660.61,Pass,0.194243,Road,Route B,7605.34
Beverage,DISH91,333.59,75,1974,748935.26,Female,41,12,11,7,Ecom Express,138.48,SpiceHub,Mumbai,6,49,3,6003.85,Fail,3.407162,Air,Route C,8835.06
Dessert,DISH92,492.74,98,94,480559.51,Male,60,2,28,5,Ecom Express,618.28,SpiceHub,Mumbai,12,199,14,2041.75,Pass,5.82454,Air,Route C,7420.15
Appetizer,DISH93,693.66,65,1330,368727.72,Female,60,12,17,7,India Post,385.57,FreshFoods India,Chennai,2,14,14,1904.58,Fail,9.910351,Air,Route A,9733.31
Appetizer,DISH94,718.5,8,1818,578374.72,Non-binary,62,4,38,4,Delhivery,848.44,FreshFoods India,Mumbai,12,127,7,5482.05,Pass,8.036647,Air,Route B,7206.64
Main Course,DISH95,673.37,36,312,873400.67,Non-binary,94,1,52,4,Blue Dart,102.73,FreshFoods India,Mumbai,5,259,2,3134.87,Fail,2.798153,Air,Route C,5330.2
Main Course,DISH96,704.88,60,1308,730357.54,Male,8,7,72,7,Delhivery,498.27,Tandoori Supplies,Kolkata,12,137,9,6019.46,Pass,8.06804,Air,Route C,1321.84
Appetizer,DISH97,225.69,64,1618,169532.98,Male,59,8,95,8,Delhivery,854.14,FreshFoods India,Mumbai,6,181,9,4410.74,Pending,6.904338,Rail,Route C,4636.61
Dessert,DISH98,720.87,77,1989,718020.59,Male,39,9,82,9,Blue Dart,843.71,FreshFoods India,Chennai,6,137,4,8398.29,Pass,0.650352,Road,Route A,4200.64
Appetizer,DISH99,754.57,63,1633,233776.52,Unknown,25,6,59,2,Ecom Express,115.29,Local Farmers,Chennai,2,222,6,9543.64,Pending,4.100507,Rail,Route A,4930.99
Dessert,DISH100,344.5,86,1195,759039.33,Female,33,9,13,4,Ecom Express,483.44,SpiceHub,Bangalore,5,211,6,5569.02,Fail,9.382663,Rail,Route B,1625.7
Main Course,DISH101,662.54,7,295,686835.04,Non-binary,87,7,74,9,India Post,751.65,Local Farmers,Chennai,4,415,1,9502.67,Pass,7.924608,Rail,Route B,1004.13
Dessert,DISH102,126.11,44,1250,296957.71,Female,86,4,18,7,Ecom Express,724.07,Tandoori Supplies,Mumbai,2,167,5,3249.03,Pass,7.76207,Road,Route A,7417.88
Dessert,DISH103,434.42,18,1989,453336.18,Non-binary,13,10,75,1,Ecom Express,267.84,SpiceHub,Bangalore,4,347,6,8280.86,Fail,8.073323,Road,Route B,9221.77
Beverage,DISH104,142.01,95,1777,964159.4,Unknown,54,10,13,3,India Post,243.37,FreshFoods India,Hyderabad,13,481,11,2668.28,Fail,6.782051,Road,Route A,7081.14
Beverage,DISH105,546.53,37,1410,795893.99,Female,43,11,73,2,Ecom Express,811.84,Tandoori Supplies,Kolkata,8,131,9,7278.34,Fail,0.828031,Air,Route A,8923.79
Main Course,DISH106,518.73,3,201,219836.68,Female,4,12,75,2,Delhivery,361.41,SpiceHub,Delhi,4,389,13,9957.12,Fail,0.243174,Air,Route B,7479.27
Appetizer,DISH107,616.43,70,1341,704335.76,Non-binary,42,5,2,7,Blue Dart,196.9,FreshFoods India,Chennai,14,288,2,3751.47,Fail,3.862055,Road,Route C,1572.35
Dessert,DISH108,102.76,31,738,506012.09,Non-binary,3,3,52,5,Ecom Express,159.07,Tandoori Supplies,Delhi,14,475,13,3959.13,Pending,5.431652,Rail,Route B,5477.39
Beverage,DISH109,213.2,54,1713,274916.3,Female,72,8,35,9,Delhivery,116.27,Local Farmers,Delhi,10,178,3,1141.02,Pass,5.905738,Air,Route C,9075.98
Dessert,DISH110,292.23,19,1330,796657.16,Unknown,25,5,56,5,Delhivery,555.58,SpiceHub,Bangalore,2,106,1,9621.92,Pending,3.992131,Road,Route B,3435.54
Dessert,DISH111,333.91,15,1874,633225.87,Non-binary,8,6,92,4,India Post,449.69,FreshFoods India,Hyderabad,7,54,8,3158.58,Pending,4.499449,Air,Route A,6100.59
Beverage,DISH112,622.35,69,288,965857.74,Unknown,15,3,3,8,Delhivery,532.74,SpiceHub,Hyderabad,7,101,6,9529.37,Pass,0.405522,Rail,Route B,4146.77
Appetizer,DISH113,93.47,88,1826,223389.83,Non-binary,84,5,36,1,Ecom Express,593.02,Local Farmers,Kolkata,9,204,8,7063.61,Pending,0.762179,Air,Route C,7741.62
Dessert,DISH114,709.14,63,1441,325746.97,Male,54,13,8,1,Ecom Express,200.7,SpiceHub,Mumbai,6,184,3,2521.34,Pending,7.658208,Road,Route A,3535.94
Beverage,DISH115,322.96,50,717,161663.49,Male,83,1,70,8,Ecom Express,671.97,SpiceHub,Chennai,12,29,5,1337.03,Pass,0.745885,Air,Route B,9245.34
Dessert,DISH116,116.4,64,1305,831644.83,Non-binary,51,2,20,8,Blue Dart,358.39,Local Farmers,Kolkata,3,115,1,7360.35,Fail,1.14015,Rail,Route A,8913.44
Appetizer,DISH117,230.57,86,760,368497.89,Unknown,25,7,89,4,Ecom Express,804.46,Tandoori Supplies,Chennai,8,21,5,5095.8,Pass,8.565234,Air,Route A,6096.47
Main Course,DISH118,698.71,59,1684,696983.47,Unknown,26,13,62,3,Delhivery,899.29,SpiceHub,Kolkata,7,117,5,8803.93,Pending,3.332491,Rail,Route C,3864.73
Appetizer,DISH119,471.01,9,650,199824.0,Female,76,9,99,9,Blue Dart,764.73,Tandoori Supplies,Mumbai,11,266,8,9454.04,Fail,7.185726,Rail,Route C,6187.98
Appetizer,DISH120,376.71,23,1743,340469.65,Unknown,0,12,83,3,Delhivery,487.64,Local Farmers,Mumbai,6,89,3,4724.5,Fail,7.909098,Road,Route A,2961.25
Main Course,DISH121,796.41,90,103,383358.79,Female,29,9,32,2,Ecom Express,825.9,Local Farmers,Hyderabad,9,424,10,4846.8,Pass,2.623065,Air,Route C,4529.57
Beverage,DISH122,702.86,78,1286,574675.46,Female,71,2,94,4,India Post,224.32,SpiceHub,Mumbai,8,220,8,3758.44,Pending,1.537207,Air,Route A,2567.31
Beverage,DISH123,557.21,84,358,814417.95,Male,76,11,38,4,Delhivery,958.17,Tandoori Supplies,Chennai,7,18,10,4349.34,Fail,8.066662,Air,Route B,3977.72
Appetizer,DISH124,197.48,18,1883,496340.61,Non-binary,78,8,26,7,India Post,798.1,SpiceHub,Chennai,3,498,8,2334.11,Pending,2.026425,Air,Route B,3799.03
Beverage,DISH125,665.37,33,679,624801.73,Non-binary,91,14,14,8,India Post,331.62,Local Farmers,Bangalore,2,86,13,6263.35,Pending,3.508569,Road,Route C,9262.89
Beverage,DISH126,717.27,43,726,878344.67,Female,32,3,62,7,Blue Dart,497.81,FreshFoods India,Mumbai,11,358,3,1630.89,Pass,3.365285,Rail,Route C,4161.77
Appetizer,DISH127,205.42,98,393,236136.19,Non-binary,79,4,37,3,Delhivery,573.29,Local Farmers,Bangalore,13,36,6,9414.06,Fail,0.1259,Road,Route B,1422.12
Beverage,DISH128,792.56,90,1254,196286.11,Unknown,13,8,69,2,Ecom Express,605.89,SpiceHub,Bangalore,13,85,3,7082.84,Fail,9.847004,Rail,Route A,4794.54
Appetizer,DISH129,551.01,80,1293,880998.54,Female,71,13,89,1,Blue Dart,932.73,FreshFoods India,Hyderabad,6,337,2,1811.77,Pass,0.4165,Air,Route B,9012.74
Dessert,DISH130,280.21,17,781,460499.29,Non-binary,73,8,74,2,Delhivery,697.35,FreshFoods India,Delhi,6,280,1,9308.51,Pass,8.780782,Road,Route B,9542.05
Appetizer,DISH131,492.4,42,132,334767.25,Male,81,4,6,8,Ecom Express,713.51,SpiceHub,Hyderabad,10,278,3,6692.85,Pending,1.405772,Rail,Route A,3501.59
Main Course,DISH132,612.8,62,1418,122974.63,Non-binary,42,2,88,1,Blue Dart,560.76,Tandoori Supplies,Hyderabad,3,128,5,6997.72,Pending,3.118363,Rail,Route A,2944.95
Appetizer,DISH133,710.53,41,618,149184.52,Female,62,6,13,1,India Post,448.94,Tandoori Supplies,Bangalore,11,13,12,2216.0,Fail,3.942453,Rail,Route A,2870.06
Main Course,DISH134,174.23,56,113,885339.3,Unknown,45,5,44,6,Blue Dart,965.91,SpiceHub,Mumbai,4,373,3,9844.06,Pending,3.690083,Rail,Route C,2275.32
Appetizer,DISH135,424.86,97,1255,234666.77,Female,43,4,38,3,Delhivery,702.54,Tandoori Supplies,Hyderabad,7,140,2,5386.37,Pass,0.404237,Rail,Route B,2068.97
Beverage,DISH136,374.3,52,1793,236069.46,Male,7,9,44,1,Delhivery,460.88,FreshFoods India,Delhi,8,401,1,9725.37,Pass,6.601012,Road,Route B,4426.43
Beverage,DISH137,77.52,65,1568,271674.07,Female,4,4,35,8,Delhivery,150.75,Local Farmers,Kolkata,8,13,14,8937.37,Pending,0.318435,Road,Route B,9608.53
Appetizer,DISH138,361.33,93,1554,989285.3,Unknown,60,3,46,3,Ecom Express,478.07,Tandoori Supplies,Chennai,4,241,9,3544.77,Pass,7.047771,Rail,Route B,9147.74
Beverage,DISH139,734.27,36,1230,214464.39,Non-binary,74,3,80,8,Delhivery,337.84,SpiceHub,Chennai,14,322,12,5724.96,Pass,5.017075,Road,Route B,2388.07
Dessert,DISH140,392.52,60,684,922943.85,Female,50,8,11,1,Ecom Express,782.05,Local Farmers,Delhi,6,470,9,2317.85,Pending,7.988411,Rail,Route C,1535.22
Dessert,DISH141,735.62,58,511,732865.78,Female,75,12,11,9,India Post,612.46,Tandoori Supplies,Hyderabad,6,339,8,4062.09,Pending,7.422593,Rail,Route C,2546.35
Appetizer,DISH142,201.65,24,418,619262.45,Male,42,7,93,3,Blue Dart,958.68,SpiceHub,Chennai,2,125,3,7551.17,Pass,9.945657,Road,Route C,8446.63
Dessert,DISH143,632.54,93,1832,381473.25,Female,70,3,67,2,Blue Dart,122.82,Local Farmers,Kolkata,14,149,5,9434.81,Pass,5.529509,Air,Route A,8904.56
Main Course,DISH144,616.24,1,556,736384.67,Non-binary,65,6,68,8,Ecom Express,221.12,FreshFoods India,Kolkata,7,12,7,7097.83,Pass,7.510715,Air,Route A,7325.69
Beverage,DISH145,625.47,64,474,665779.05,Female,0,2,25,2,Ecom Express,574.28,SpiceHub,Bangalore,7,469,8,9449.99,Fail,7.814397,Road,Route A,4790.38
Appetizer,DISH146,392.36,31,1259,141491.89,Unknown,97,1,19,3,Delhivery,235.36,Tandoori Supplies,Delhi,1,402,9,1041.84,Pass,2.982163,Road,Route A,1055.49
Main Course,DISH147,226.13,18,391,259923.93,Non-binary,48,1,89,1,Ecom Express,870.99,Tandoori Supplies,Hyderabad,4,473,8,8102.49,Pending,2.91232,Air,Route A,3523.03
